,Respository_name,Repository_language
0,ai-and-efficiency,
1,assign-one-project-github-action,Shell
2,atari-demo,Python
3,atari-py,C++
4,atari-reset,Python
5,automated-interpretability,Python
6,aws-fluent-plugin-kinesis,Ruby
7,azure-cli,
8,baselines,Python
9,baselines-results,Jupyter Notebook
10,blocksparse,Cuda
11,box2d-py,C++
12,bugbounty-gpt,Python
13,build-hours,Jupyter Notebook
14,ceph-chef,Ruby
15,chatgpt-retrieval-plugin,Python
16,chef-cookbook-hostname,
17,chef-logdna_agent,Ruby
18,chz,Python
19,CLIP,Jupyter Notebook
20,CLIP-featurevis,Python
21,code-align-evals-data,Python
22,codex,TypeScript
23,coinrun,C++
24,compose-richtext,Kotlin
25,consistencydecoder,Python
26,consistency_models,Python
27,consistency_models_cifar10,Jupyter Notebook
28,consul-helm,
29,DALL-E,Python
30,dalle-2-preview,
31,dalle3-eval-samples,
32,dallify-discord-bot,TypeScript
33,deeptype,Python
34,democratic-inputs,HTML
35,distribution_augmentation,Python
36,doom-py,C++
37,ebm_code_release,Python
38,emoclassifiers,Python
39,EPG,Python
40,etcd,Ruby
41,evals,Python
42,evolution-strategies-starter,Python
43,fedramp-et,
44,fetch_robots,Python
45,finetune-transformer-lm,Python
46,fluent-plugin-kubernetes_metadata_filter,Ruby
47,following-instructions-human-feedback,
48,gen,Shell
49,generating-reviews-discovering-sentiment,Python
50,glide-text2im,Python
51,glow,Python
52,go-alias,JavaScript
53,go-retryablehttp,Go
54,go-vncdriver,Go
55,go-vncdriver-feedstock,Shell
56,gpt-2,Python
57,gpt-2-output-dataset,Python
58,gpt-3,
59,GPT-3-Encoder,
60,gpt-discord-bot,Python
61,GPTs-are-GPTs,Jupyter Notebook
62,grade-school-math,Python
63,grok,Python
64,guided-diffusion,Python
65,gym,Python
66,gym-http-api,Python
67,gym-recording,Python
68,gym-soccer,Python
69,gym-wikinav,Python
70,gym3,Python
71,human-eval,Python
72,human-eval-infilling,Python
73,iaf,Python
74,image-gpt,Python
75,imitation,Python
76,improved-diffusion,Python
77,improved-gan,Python
78,InfoGAN,Python
79,interactive-textbook-demo,TypeScript
80,jukebox,Python
81,junit-annotate-buildkite-plugin,Ruby
82,kubernetes,Go
83,kubernetes-ec2-autoscaler,Python
84,large-scale-curiosity,Python
85,lean-gym,Lean
86,learning-lab,Python
87,LHOPT,Python
88,lm-human-preferences,Python
89,lucid,Jupyter Notebook
90,lustre,
91,maddpg,Python
92,main-branch-check-action,JavaScript
93,miniF2F,Objective-C++
94,mitmproxy,JavaScript
95,ml-agents,Python
96,mle-bench,Python
97,mlsh,Python
98,model_spec,
99,moderation-api-release,
100,monorepo-diff-buildkite-plugin,
101,mujoco-py,Cython
102,mujoco-worldgen,Python
103,multi-agent-emergence-environments,Python
104,multiagent-competition,Python
105,multiagent-particle-envs,Python
106,neural-gpu,Python
107,neural-mmo,Python
108,oauth2_proxy,Go
109,openai-agents-python,Python
110,openai-assistants-quickstart,TypeScript
111,openai-builder-lab,TypeScript
112,openai-builder-lab-solution,TypeScript
113,openai-cookbook,MDX
114,openai-cua-sample-app,Python
115,openai-deno-build,TypeScript
116,openai-dotnet,C#
117,openai-fm,TypeScript
118,openai-gemm,C
119,openai-go,Go
120,openai-java,Kotlin
121,openai-node,TypeScript
122,openai-openapi,
123,openai-python,Python
124,openai-quickstart-node,JavaScript
125,openai-quickstart-python,
126,openai-realtime-agents,TypeScript
127,openai-realtime-api-beta,JavaScript
128,openai-realtime-console,JavaScript
129,openai-realtime-embedded,
130,openai-realtime-solar-system,TypeScript
131,openai-realtime-twilio-demo,TypeScript
132,openai-responses-starter-app,TypeScript
133,openai-ruby,Ruby
134,openai-security-bots,Python
135,openai-structured-outputs-samples,TypeScript
136,openai-support-agent-demo,TypeScript
137,openai-voice-agent-sdk-sample,TypeScript
138,orrb,C#
139,ot-gan,Jupyter Notebook
140,pachi-py,C
141,phasic-policy-gradient,Python
142,pixel-cnn,Python
143,plugins-quickstart,Python
144,point-e,Python
145,post--example,TeX
146,ppo-ewma,Jupyter Notebook
147,preparedness,Python
148,prm800k,Python
149,procgen,C++
150,prometheus,Go
151,psaw,Python
152,pyconfigatron,Python
153,pytorch,C++
154,random-network-distillation,Python
155,requests-for-research,HTML
156,retask,Python
157,retro,C
158,retro-baselines,Python
159,retro-contest,Python
160,retro-movies,Python
161,robogym,Python
162,roboschool,Python
163,robosumo,Python
164,robot_controllers,C++
165,rosbridge,Python
166,safety-gym,Python
167,safety-rbr-code-and-data,Jupyter Notebook
168,safety-starter-agents,Python
169,scheduler-plugins,Go
170,shap-e,Python
171,signup-forms,CSS
172,simple-evals,Python
173,sonic-on-ray,Python
174,sparse_attention,Python
175,sparse_autoencoder,Python
176,spinningup,Python
177,spinningup-workshop,TeX
178,staged-recipes,Python
179,summarize-from-feedback,Python
180,supervised-reptile,JavaScript
181,swarm,Python
182,SWELancer-Benchmark,Python
183,tabulate,JavaScript
184,TestUGxlYXNlIGlnbm9yZQo,
185,tiktoken,Python
186,train-procgen,Python
187,transformer-debugger,Python
188,understanding-rl-vision,Python
189,universe,Python
190,universe-starter-agent,Python
191,vdvae,Python
192,Video-Pre-Training,Python
193,vime,Python
194,weak-to-strong,Python
195,web-crawl-q-and-a-example,Jupyter Notebook
196,websockify,Python
197,weightnorm,Python
198,whisper,Python
199,zbarlight,Python
